CompoundID,CompoundName,GeneSymbolOfTargets,TargetOrMechanism,Synonyms,SampleIDs,ChEMBLID,SMILES,InChIKey,DoseUnit,PubChemCID
DPC-000025,10-HYDROXYCAMPTOTHECIN,TOP1,TOPOISOMERASE INHIBITOR,,BRD:BRD-K63784565-001-06-2,,,,uM,
DPC-000026,10058-F4,,C-MYC INHIBITOR,,BRD:BRD-K49460120-001-02-5,,,,uM,
DPC-000027,1035270-39-3,FGFR1;FGFR2;FGFR3;FGFR4;IGF1R;KDR,FGFR INHIBITOR,AZD4547,BRD:BRD-K28392481-001-05-1;CTRP:660325;GDSC2:1786,,,,uM,
DPC-000028,1044870-39-4,BRD3,APOLIPOPROTEIN EXPRESSION ENHANCER,APABETALONE;RVX-208,BRD:BRD-K20001883-001-02-7;GDSC2:1625,,,,uM,
DPC-000029,1080622-86-1,,,CP 466722;CP-466722;CP466722,GDSC1:152,,,,uM,
DPC-000030,12-O-TETRADECANOYLPHORBOL-13-ACETATE,KCNT2;TRPV4,PKC ACTIVATOR,,BRD:BRD-K68552125-001-05-3,,,,uM,
DPC-000031,1400W,NOS1;NOS2;NOS3,NITRIC OXIDE SYNTHASE INHIBITOR,,BRD:BRD-K30237152-300-02-5,,,,uM,
DPC-000032,"16,16-DIMETHYLPROSTAGLANDIN-E2",HPGD,PROSTANOID RECEPTOR AGONIST,,BRD:BRD-K92301463-001-05-5,,,,uM,
DPC-000033,16-BETA-BROMOANDROSTERONE,,,,CTRP:411726,,,,uM,
DPC-000034,17-AAG,HSP90AA1,HSP INHIBITOR,BMS-722782;TANESPIMYCIN,BRD:BRD-K81473043-001-14-6;BRD:BRD-K81473043-001-19-5;CTRP:50134;GDSC1:1026,,,,uM,
DPC-000035,17-ALPHA-METHYLTESTOSTERONE,AR,AROMATASE INHIBITOR,,BRD:BRD-K84036904-001-08-8,,,,uM,
DPC-000036,17-HYDROXYPROGESTERONE-CAPROATE,AR;ESR1;ESR2;NR1H4;NR1I2;NR3C1;PGR,PROGESTERONE RECEPTOR AGONIST,,BRD:BRD-A29731977-001-04-5,,,,uM,
DPC-000037,17-PA,,GLUCOCORTICOID RECEPTOR AGONIST,,BRD:BRD-K07395323-001-02-9,,,,uM,
DPC-000038,1E-1-(2-HYDROXY-5-METHYLPHENYL)-1-DODECANONE OXIME,,,1E-1-(2-HYDROXY-5-METHYLPHENYL)-1-DODECANONE-OXIME,BRD:BRD-A37752546-001-01-9;BRD:BRD-A37752546-001-02-9,,,,uM,
DPC-000039,"1S,2R-PHENYLPROPANOLAMINE",ADRA1A;ADRA2A;ADRB1;ADRB2;DRD1,ADRENERGIC RECEPTOR AGONIST,,BRD:BRD-K27853494-003-04-7,,,,uM,
DPC-000040,"1S,3R-RSL-3",,,,CTRP:609060,,,,uM,
DPC-000041,2'-C-METHYLGUANOSINE,,HCV INHIBITOR,,BRD:BRD-K78092779-001-01-6,,,,uM,
DPC-000042,2'-MECCPA,ADORA1,ADENOSINE RECEPTOR AGONIST,,BRD:BRD-K63932022-001-01-5,,,,uM,
DPC-000043,"2,3-DCPE",BCL2L1,BCL-XL DOWNREGULATOR,,BRD:BRD-K61734568-003-02-1,,,,uM,
DPC-000044,"2,4-DIHYDROXYPYRIMIDINE-5-CARBOXYLIC ACID",,,,BRD:BRD-K00078070-001-02-9,,,,uM,
DPC-000045,"2,4-DINITROPHENOL",APP,ATP SYNTHASE INHIBITOR,,BRD:BRD-K21910317-001-12-3,,,,uM,
DPC-000046,"2,6-DIMETHYLPIPERIDINE",,,,BRD:BRD-A21276153-001-01-1,,,,uM,
DPC-000047,2-(3-MERCAPTOPROPYL)PENTANEDIOIC ACID,FOLH1,GLUTAMATE CARBOXYPEPTIDASE INHIBITOR,2-(3-MERCAPTOPROPYL)PENTANEDIOIC-ACID,BRD:BRD-A66788520-001-01-7,,,,uM,
DPC-000048,2-AMINOBENZENESULFONAMIDE,CA12;CA14;CA2;CA6;CA9,CARBONIC ANHYDRASE INHIBITOR,,BRD:BRD-K32681104-001-11-6,,,,uM,
DPC-000049,2-BENZYL-4-CHLOROPHENOL,,,,BRD:BRD-K83982397-001-06-9,,,,uM,
DPC-000050,2-BFI,ADRA2A;ADRA2B;ADRA2C;MAOA;MAOB,IMIDAZOLINE RECEPTOR LIGAND,,BRD:BRD-K22745370-003-02-3,,,,uM,
DPC-000051,2-CHLORO-N6-CYCLOPENTYLADENOSINE,ADORA1;ADORA2A;ADORA2B;ADORA3,ADENOSINE RECEPTOR AGONIST,,BRD:BRD-K70088346-001-01-6,,,,uM,
DPC-000052,2-CHLOROADENOSINE,ADORA1;ADORA2A;ADORA2B,ADENOSINE RECEPTOR AGONIST,,BRD:BRD-K79511609-001-20-0,,,,uM,
DPC-000053,2-CHLOROPYRAZINE,,,,BRD:BRD-K84075000-001-05-5,,,,uM,
DPC-000054,2-CMDO,DRD2;DRD4,DOPAMINE RECEPTOR ANTAGONIST,,BRD:BRD-K92588747-051-02-7,,,,uM,
DPC-000055,2-CYANOPYRIMIDINE,,CATHEPSIN INHIBITOR,,BRD:BRD-K95015809-001-02-8,,,,uM,
DPC-000056,2-DEOXYGLUCOSE,SLC2A1;SLC2A2;SLC2A3;SLC2A4,GLYCOLYSIS INHIBITOR,,BRD:BRD-K97808269-001-02-7,,,,uM,
DPC-000057,2-ETHOXYBENZOIC-ACID,,ANALGESIC AGENT,,BRD:BRD-K04843302-001-02-5,,,,uM,
DPC-000058,"2-ETHYL-1,3-HEXANEDIOL",,,,BRD:BRD-A55455283-001-01-3,,,,uM,
DPC-000059,2-ETHYLHEXYL 4-(DIMETHYLAMINO)BENZOATE,,,,BRD:BRD-A49924714-001-08-9,,,,uM,
DPC-000060,2-FLUORO-2-DEOXY-D-GALACTOSE,LCT,,,BRD:BRD-A53037300-001-01-0,,,,uM,
DPC-000061,2-FLUOROFUCOSE,,,,BRD:BRD-K00004677-001-01-9,,,,uM,
DPC-000062,2-HYDROXYETHYL-SALICYLATE,,,,BRD:BRD-K41866823-001-01-3,,,,uM,
DPC-000063,2-HYDROXYFLUTAMIDE,AR,ANDROGEN RECEPTOR ANTAGONIST,,BRD:BRD-K82027074-001-07-5,,,,uM,
DPC-000064,2-HYDROXYSACLOFEN,GABBR1;GABBR2,GABA RECEPTOR ANTAGONIST,,BRD:BRD-A27924917-001-03-3,,,,uM,
DPC-000065,2-IMINOBIOTIN,NOS1;NOS2,NITRIC OXIDE SYNTHASE INHIBITOR,,BRD:BRD-K07954936-001-01-3,,,,uM,
DPC-000066,2-IODOHIPPURIC-ACID,,,,BRD:BRD-K56634222-001-03-0,,,,uM,
DPC-000067,2-IODOMELATONIN,MTNR1A;MTNR1B;NQO2,MELATONIN RECEPTOR AGONIST,,BRD:BRD-K25649279-001-02-0,,,,uM,
DPC-000068,2-METHOXYESTRADIOL,COMT;CYP19A1;CYP1A1;CYP1B1;HIF1A;TUBB,HYPOXIA INDUCIBLE FACTOR INHIBITOR,,BRD:BRD-K44408410-001-17-6,,,,uM,
DPC-000069,2-METHYL-5-HYDROXYTRYPTAMINE,HTR1B;HTR1D;HTR1E;HTR1F;HTR3A;HTR3B;HTR6,SEROTONIN RECEPTOR AGONIST,,BRD:BRD-K64137799-003-02-5,,,,uM,
DPC-000070,2-METHYLIMIDAZOLE,,CHOLESTEROL INHIBITOR,,BRD:BRD-K68534611-001-07-8,,,,uM,
DPC-000071,2-OCTYLDODECAN-1-OL,,,,BRD:BRD-A51407134-001-01-9,,,,uM,
DPC-000072,2-OLEOYLGLYCEROL,GPR119,GLUCOSE DEPENDENT INSULINOTROPIC RECEPTOR LIGAND,,BRD:BRD-K77087341-001-02-4,,,,uM,
DPC-000073,2-OXOGLUTARIC-ACID,OXGR1,,,BRD:BRD-K89712525-001-02-1,,,,uM,
DPC-000074,2-PHENYLMELATONIN,MTNR1A;MTNR1B,MELATONIN RECEPTOR AGONIST,,BRD:BRD-K41869275-001-02-8,,,,uM,
DPC-000075,2-PMDQ,ADRA1A,ADRENERGIC RECEPTOR ANTAGONIST,,BRD:BRD-A04661934-001-02-9,,,,uM,
DPC-000076,2-PYRIDYLETHYLAMINE,HRH1,HISTAMINE RECEPTOR AGONIST,,BRD:BRD-K17874705-300-03-2,,,,uM,
DPC-000077,2-TEDC,ALOX12,LIPOXYGENASE INHIBITOR,,BRD:BRD-K89072800-001-01-8,,,,uM,
DPC-000078,2-THIOURACIL,,,,BRD:BRD-K58819470-001-05-9,,,,uM,
DPC-000079,2-[1-(4-PIPERONYL)PIPERAZINYL]BENZOTHIAZOLE,HTR4,SEROTONIN RECEPTOR AGONIST,,BRD:BRD-K91868854-001-03-6,,,,uM,
DPC-000080,20-HETE,,ION CHANNEL ANTAGONIST,,BRD:BRD-K00005345-001-01-9,,,,uM,
DPC-000081,20-HYDROXYECDYSONE,,ECDYSONE RECEPTOR MODULATOR,,BRD:BRD-K28343777-001-01-6,,,,uM,
DPC-000082,212631-79-3,MAP2K1;MAP3K1;MAP3K2,MEK INHIBITOR,CI 1040;CI-1040;PD-18435;PD-184352,BRD:BRD-K05104363-001-10-0;GDSC1:1015,,,,uM,
DPC-000083,284461-73-0,BRAF;DDR2;FGFR1;FLT1;FLT3;FLT4;KDR;KIT;PDGFRB;RAF1;RET,"FLT3 INHIBITOR, KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, RAF INHIBITOR, RET TYROSINE KINASE INHIBITOR, VEGFR INHIBITOR",BAY 43-9006;NEXAVAR;SORAFENIB,BRD:BRD-K23984367-001-07-5;BRD:BRD-K23984367-075-15-2;CTRP:349006;GDSC1:30;GDSC2:1085,,,,uM,
DPC-000084,3'-FLUOROBENZYLSPIPERONE,DRD2,DOPAMINE RECEPTOR LIGAND,,BRD:BRD-K45662124-050-01-5,,,,uM,
DPC-000085,"3,3'-DICHLOROBENZALDAZINE",GRM5,"GLUTAMATE RECEPTOR ALLOSTERIC LIGAND, GLUTAMATE RECEPTOR MODULATOR",,BRD:BRD-K82903013-001-01-4,,,,uM,
DPC-000086,"3,3'-DIINDOLYLMETHANE",AR;HIF1A;IFNG;PI3,"CHK INHIBITOR, CYTOCHROME P450 ACTIVATOR, INDOLEAMINE 2,3-DIOXYGENASE INHIBITOR",,BRD:BRD-K37846922-001-09-4,,,,uM,
DPC-000087,"3,4-DCPG-(R)",,GLUTAMATE RECEPTOR ANTAGONIST,,BRD:BRD-K06204668-001-03-9,,,,uM,
DPC-000088,"3,5-DHPG-(S)",GRM1,GLUTAMATE RECEPTOR AGONIST,,BRD:BRD-K57796080-001-04-9,,,,uM,
DPC-000089,3-(4-METHYLBENZYLIDENE)CAMPHOR,,ENDOCRINE DISRUPTOR,,BRD:BRD-A55464252-001-01-2,,,,uM,
DPC-000090,3-ALPHA-BIS-(4-FLUOROPHENYL)-METHOXYTROPANE,CHRM1;SLC6A2;SLC6A3;SLC6A4,DOPAMINE UPTAKE INHIBITOR,,BRD:BRD-A85216385-003-02-4,,,,uM,
DPC-000091,3-ALPHA-HYDROXY-5-BETA-ANDROSTAN-17-ONE,HSD17B11;IGHG2;SULT2A1,,,BRD:BRD-A43598550-001-09-4,,,,uM,
DPC-000092,3-AMINO-BENZAMIDE,PARP1,PARP INHIBITOR,,BRD:BRD-K08703257-001-12-1;BRD:BRD-K08703257-001-13-9,,,,uM,
DPC-000093,3-AQC,HTR3A,SEROTONIN RECEPTOR AGONIST,,BRD:BRD-K38370968-050-01-3,,,,uM,
DPC-000094,3-BROMO-7-NITROINDAZOLE,NOS1;NOS2;NOS3,NITRIC OXIDE SYNTHASE INHIBITOR,,BRD:BRD-K24689407-001-06-3,,,,uM,
DPC-000095,3-BROMOPYRUVATE,HK2,HEXOKINASE INHIBITOR,,BRD:BRD-K92980438-001-03-3,,,,uM,
DPC-000096,3-CARBOXY-4-HYDROXYPHENYLGLYCINE-(R),GRIN1;GRIN2A;GRIN2B;GRIN2C,GLUTAMATE RECEPTOR ANTAGONIST,,BRD:BRD-K76592088-001-02-1,,,,uM,
DPC-000097,3-CARBOXY-4-HYDROXYPHENYLGLYCINE-(S),GRM1;GRM5,GLUTAMATE RECEPTOR ANTAGONIST,,BRD:BRD-K61585876-001-01-0,,,,uM,
DPC-000098,3-CL-AHPC,,,,CTRP:660796,,,,uM,
DPC-000099,3-CPMT,,DOPAMINE REUPTAKE INHIBITOR,,BRD:BRD-A51713165-003-02-6,,,,uM,
DPC-000100,3-DEAZAADENOSINE,AHCY,ADENOSYLHOMOCYSTEINASE INHIBITOR,,BRD:BRD-A79431551-001-01-1,,,,uM,
DPC-000101,3-DEAZANEPLANOCIN-A,EZH2,HISTONE LYSINE METHYLTRANSFERASE INHIBITOR,,BRD:BRD-K77791657-001-01-1;BRD:BRD-K77791657-003-01-7,,,,uM,
DPC-000102,3-DEAZAURIDINE,,CYTIDINE DEAMINASE INHIBITOR,,BRD:BRD-A26105646-001-06-1,,,,uM,
DPC-000103,3-HYDROXY-3-PHENYLPENTANAMIDE,,GABA RECEPTOR MODULATOR,,BRD:BRD-A66143912-001-01-1,,,,uM,
DPC-000104,3-INDOLEBUTYRIC-ACID,B2M;HLA-A;TRAC;TRBC1,,,BRD:BRD-K43187796-001-02-3,,,,uM,
DPC-000105,3-MATIDA,GRM1,GLUTAMATE RECEPTOR ANTAGONIST,,BRD:BRD-A87125127-001-03-9,,,,uM,
DPC-000106,3-METHYL-GABA,ABAT,GABA AMINOTRANSFERASE ACTIVATOR,,BRD:BRD-K01825682-074-02-9,,,,uM,
DPC-000107,3-METHYLADENINE,PI3,PI3K INHIBITOR,,BRD:BRD-K81647657-001-04-3,,,,uM,
DPC-000108,3-MPPI,ADRA1A,ADRENERGIC RECEPTOR LIGAND,,BRD:BRD-K62581435-001-03-8,,,,uM,
DPC-000109,3PO,PFKFB3,PHOSPHOFRUCTOKINASE INHIBITOR,,BRD:BRD-K58413118-001-01-8,,,,uM,
DPC-000110,"4,4-PENTAMETHYLENEPIPERIDINE",,M2 CHANNEL BLOCKER,,BRD:BRD-K49545903-003-01-4,,,,uM,
DPC-000111,"4,5,6,7-TETRABROMOBENZOTRIAZOLE",AKT1;CHEK1;CSNK2A1;GSK3B;LCK;MAP2K1;MAPK1;MAPK11;MAPK12;MAPK14;MAPK8;PRKCA;ROCK1;RPS6KB1;SGK1,CASEIN KINASE INHIBITOR,,BRD:BRD-K97118047-001-03-8,,,,uM,
DPC-000112,4-(4-FLUOROBENZOYL)-1-(4-PHENYLBUTYL)-PIPERIDINE,HTR2A,SEROTONIN RECEPTOR ANTAGONIST,,BRD:BRD-K47337578-034-02-5,,,,uM,
DPC-000113,4-(AMINOMETHYL)BENZOIC-ACID,,HEMOSTATIC AGENT,,BRD:BRD-K00003517-001-01-9,,,,uM,
DPC-000114,"4-ACETYL-1,1-DIMETHYLPIPERAZINIUM",,ACETYLCHOLINE RECEPTOR AGONIST,,BRD:BRD-K97019106-005-02-9,,,,uM,
DPC-000115,4-AMINOHIPPURIC-ACID,SLC22A6,,,BRD:BRD-K65544384-001-15-8,,,,uM,
DPC-000116,4-CHLOROPHENYLGUANIDINE,PLAUR,UROKINASE INHIBITOR,,BRD:BRD-K39160765-003-02-9,,,,uM,
DPC-000117,4-CMTB,FFAR2,FREE FATTY ACID RECEPTOR AGONIST,,BRD:BRD-A54139254-001-09-2,,,,uM,
DPC-000118,4-CPA,,,,BRD:BRD-K00078770-001-02-9,,,,uM,
DPC-000119,4-DAMP,CHRM1;CHRM2;CHRM3;CHRM4;CHRM5,CHOLINERGIC RECEPTOR ANTAGONIST,,BRD:BRD-K29313239-005-10-9,,,,uM,
DPC-000120,4-GALACTOSYLLACTOSE,AMY2B,,,BRD:BRD-A32796301-001-01-6,,,,uM,
DPC-000121,4-HQN,PARP1,PARP INHIBITOR,,BRD:BRD-K91758890-001-10-0,,,,uM,
DPC-000122,4-HYDROXY-PHENAZONE,,,,BRD:BRD-K49759007-001-11-9,,,,uM,
DPC-000123,4-IBP,SIGMAR1,SIGMA RECEPTOR AGONIST,,BRD:BRD-K62537556-001-02-5,,,,uM,
DPC-000124,4-IODO-6-PHENYLPYRIMIDINE,MIF,MACROPHAGE MIGRATION INHIBITING FACTOR INHIBITOR,,BRD:BRD-K25690923-001-02-4,,,,uM,
DPC-000125,4-IODO-L-PHENYLALANINE,DPP4,,,BRD:BRD-K66664625-001-01-2,,,,uM,
DPC-000126,4-METHYLGENISTEIN,CYP19A1;ESRRA;ESRRB;ESRRG;FASN,PROTEIN TYROSINE KINASE INHIBITOR,,BRD:BRD-K73303757-001-21-6,,,,uM,
DPC-000127,4-METHYLHISTAMINE,HRH4,HISTAMINE RECEPTOR AGONIST,,BRD:BRD-K70821460-300-02-4,,,,uM,
DPC-000128,4-MU-8C,ERN1,IRE1 INHIBITOR,,BRD:BRD-K81316007-001-01-8,,,,uM,
DPC-000129,4-P-PDOT,MTNR1A;MTNR1B,MELATONIN RECEPTOR ANTAGONIST,,BRD:BRD-A67482312-001-02-6,,,,uM,
DPC-000130,4-PHENOLSULFONIC-ACID,,,,BRD:BRD-K41024817-325-01-0,,,,uM,
DPC-000131,"4-PHENYL-1,2,3,4-TETRAHYDROISOQUINOLINE",,DOPAMINE RELEASE INHIBITOR,,BRD:BRD-A40504327-003-02-9,,,,uM,
DPC-000132,4-PPBP,SIGMAR1,SIGMA RECEPTOR LIGAND,,BRD:BRD-K78061844-050-01-9,,,,uM,
DPC-000133,4-PYRIMIDINECARBONITRILE,,,,BRD:BRD-K04552268-001-02-4,,,,uM,
DPC-000134,4BP-TQS,CHRNA7,NICOTINIC RECEPTOR AGONIST,,BRD:BRD-A18598741-001-02-9,,,,uM,
DPC-000135,4E1RCAT,EIF4E;EIF4G1,PROTEIN SYNTHESIS INHIBITOR,,BRD:BRD-K67173685-001-06-9,,,,uM,
DPC-000136,4SC-202,HDAC1,HDAC INHIBITOR,,BRD:BRD-K11773281-075-02-4,,,,uM,
DPC-000137,5'-CHLORO-5'-DEOXY-ENBA-(+/-),ADORA1,ADENOSINE RECEPTOR AGONIST,,BRD:BRD-A13598753-001-01-2,,,,uM,
DPC-000138,"5,7-DICHLOROKYNURENIC-ACID",GLRA2;GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D,GLUTAMATE RECEPTOR ANTAGONIST,,BRD:BRD-K60287130-001-05-7,,,,uM,
DPC-000139,"5-AMINO-3-D-RIBOFURANOSYLTHIAZOLO[4,5-D]PYRIMIDIN-2,7(3H,6H)-DIONE",TLR7,,,BRD:BRD-K87535339-001-01-6,,,,uM,
DPC-000140,5-AMINOLEVULINIC-ACID,ALAD,OXIDIZING AGENT,,BRD:BRD-K57631554-003-06-2,,,,uM,
DPC-000141,AZACITIDINE,DNMT1,covalent inhibitor of DNMT1; hypomethylating agent with DNA/RNA incorporation,5-AZACYTIDINE;AZACYTIDINE,BRD:BRD-K03406345-001-21-1;BRD:BRD-K03406345-001-27-8;CTRP:26874,CHEMBL14253,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,NMUSYJAQQFHJEW-KVTDHHQDSA-N,uM,9444
DPC-000142,5-BDBD,P2RX4,PURINERGIC RECEPTOR ANTAGONIST,,BRD:BRD-K33690734-001-01-5,,,,uM,
DPC-000143,5-CARBOXAMIDOTRYPTAMINE,HTR1A;HTR1B;HTR1D;HTR1E;HTR1F;HTR2A;HTR2B;HTR2C;HTR5A;HTR6;HTR7,SEROTONIN RECEPTOR AGONIST,,BRD:BRD-K92382976-050-01-1,,,,uM,
DPC-000144,5-FLUORO-3-PYRIDYL-METHANOL,,,,BRD:BRD-K73381198-001-01-1,,,,uM,
DPC-000145,5-FLUOROPYRIMIDINE,,KINASE INHIBITOR,,BRD:BRD-K00004679-001-01-9,,,,uM,
DPC-000146,5-HMF,,,,BRD:BRD-K86799112-001-02-0,,,,uM,
DPC-000147,5-HYDROXYECTOINE,,,,BRD:BRD-K03871161-001-01-9;BRD:BRD-K03871161-001-02-9,,,,uM,
DPC-000148,5-HYDROXYMETHYL-TOLTERODINE,CHRM3,ACETYLCHOLINE RECEPTOR ANTAGONIST,,BRD:BRD-K24603946-001-02-1,,,,uM,
DPC-000149,5-HYDROXYTRYPTOPHAN,SLC36A1;SLC36A2,NEUROTRANSMITTER,,BRD:BRD-A73930134-001-03-0,,,,uM,
DPC-000150,5-IODO-A-85380,,ACETYLCHOLINE RECEPTOR AGONIST,,BRD:BRD-K90065682-300-02-6,,,,uM,
DPC-000151,5-METHYLFURMETHIODIDE,CHRM1;CHRM2;CHRM3;CHRM4,ACETYLCHOLINE RECEPTOR AGONIST,,BRD:BRD-K45437867-005-03-3,,,,uM,
DPC-000152,5-METHYLHYDANTOIN-(L),,,,BRD:BRD-K56033645-001-07-5,,,,uM,
DPC-000153,5-OCTANOYLSALICYLIC-ACID,,PROTEIN KINASE ACTIVATOR,,BRD:BRD-K00004681-001-01-9,,,,uM,
DPC-000154,5XE,TGFBR1;TGFBR2,TGF BETA RECEPTOR INHIBITOR,LY2109761,BRD:BRD-K47557313-001-02-7;GDSC2:1852,,,,uM,
DPC-000155,"6,7-DEHYDRO-17-ACETOXY-PROGESTERONE",,STEROIDAL PROGESTIN,"6,_7-DEHYDRO-17-ACETOXY-PROGESTERONE",BRD:BRD-K48329353-001-01-3,,,,uM,
DPC-000156,6-AMINOPENICILLANIC-ACID,,,,BRD:BRD-K30284967-001-02-9,,,,uM,
DPC-000157,6-BENZYLAMINOPURINE,,PURINERGIC RECEPTOR ACTIVATOR,,BRD:BRD-K62929068-001-16-5,,,,uM,
DPC-000158,6-CHLOROMELATONIN,MTNR1A;MTNR1B,MELATONIN RECEPTOR AGONIST,,BRD:BRD-K34663752-001-09-1,,,,uM,
DPC-000159,6-DIAZO-5-OXO-L-NOR-LEUCINE,,"GLUTAMATE RECEPTOR ANTAGONIST, GLUTAMINASE INHIBITOR",6-DIAZO-5-OXO-L-NORLEUCINE,BRD:BRD-K84924563-001-04-9,,,,uM,
DPC-000160,6-IODO-NORDIHYDROCAPSAICIN,TRPV1,TRPV ANTAGONIST,,BRD:BRD-K49236613-001-02-3,,,,uM,
DPC-000161,6-THIO-2'-DEOXYGUANOSINE,,,,BRD:BRD-K00091271-001-01-9,,,,uM,
DPC-000162,681640,,,WEE1 INHIBITOR,GDSC1:1046;GDSC2:1046,,,,uM,
DPC-000163,"7,8,9,10-TETRAHYDROAZEPINO[2,1-B]QUINAZOLIN-12(6H)-ONE",,,,BRD:BRD-K77756533-001-01-4,,,,uM,
DPC-000164,7-AMINOCEPHALOSPORANIC-ACID,,BETA LACTAMASE INHIBITOR,,BRD:BRD-K65377893-001-07-4,,,,uM,
DPC-000165,7-CHLOROKYNURENIC-ACID,GRIN1;GRIN2A;GRIN2B;GRIN2C,GLUTAMATE RECEPTOR ANTAGONIST,,BRD:BRD-K84214706-001-05-7,,,,uM,
DPC-000166,7-HYDROXY-DPAT,DRD2;DRD3,DOPAMINE RECEPTOR AGONIST,,BRD:BRD-A18795974-004-07-3,,,,uM,
DPC-000167,7-HYDROXYSTAUROSPORINE,CDK1;CHEK1;CHEK2;GSK3B;LCK;MAPK14;MARK1;MARK3;PDPK1;PRKCA;PRKCB;PRKCD;PRKCE;PRKCG,"CDK INHIBITOR, CHK INHIBITOR, PKC INHIBITOR",,BRD:BRD-K45293975-001-02-0,,,,uM,
